fig,panel,description,source_script,result_dir,protocol,split_seed,model_seeds,feature_modes,publication,notes,git_commit,git_dirty
Fig.3,3a/3b,Fingerprint vs vanilla GNN vs RC-GNN comparison (HOMA/NICS/MCBO),0831-end-code/stage1_representation_comparison/code/run_stage1_v2.py,0831-end-code/results_v2/stage1/,PROTOCOL_SPEC Stage1 (P0-1 v2 + P0-2),2026,"[42, 123, 456, 789, 2024]",standard + explicit_aromaticity_ablated,True,5-seed CV + fixed test. Group-aware split via get_final_splits(SPLIT_SEED=2026).,f684babbff9b,True
Fig.3,3c/3d,2x2 factorial ablation (Base / Membership / LearnableReadout / Joint),0831-end-code/stage2_ring_conditioning/code/ring_conditioning_ablation.py,0831-end-code/results_v2_backup_pre_bugfix/stage2/,PROTOCOL_SPEC Stage2 (P0-1 v2 + P0-2),2026,"[42, 123, 456, 789, 2024]",standard + explicit_aromaticity_ablated,True,Factorial design preserved: ring_flag=10 for Membership/Joint. Do NOT unify with final model.,f684babbff9b,True
Fig.3,3e,Explicit aromaticity ablation,0831-end-code/stage1_representation_comparison/code/run_stage1_v2.py + stage2,0831-end-code/results_v2/stage1/ (explicit_aromaticity_ablated mode),PROTOCOL_SPEC Stage1/2 (P0-1 v2 + P0-2),2026,"[42, 123, 456, 789, 2024]",explicit_aromaticity_ablated,True,Comparison: standard features (with aromaticity) vs ablated (without).,f684babbff9b,True
Fig.3,3f,Mask pretraining comparison (direct / random_mask / ring_mask),0831-end-code/stage3_mask_pretraining/code/run_mask_pretrain_v2.py,0831-end-code/results_v2_backup_pre_bugfix/stage3/,PROTOCOL_SPEC Stage3 (P0-1 v2 + P0-2),2026,"[42, 123, 456, 789, 2024]",standard,True,v2 protocol. OLD results in results/stage3_mask_pretraining/ are NON-publication (canonical_splits).,f684babbff9b,True
Fig.3,3g,Cross-architecture validation (GNN/GIN/GAT/MPNN/GraphSAGE/DMPNN),0831-end-code/stage4_cross_architecture/code/run_stage4_v2.py,0831-end-code/results_v2_backup_pre_bugfix/stage4/ + results_v2/stage4/,PROTOCOL_SPEC Stage4 (P0-1 v2 + P0-2),2026,"[42, 123, 456, 789, 2024]",standard + explicit_aromaticity_ablated,True,v2 protocol. OLD cross_arch_eval.py uses canonical_splits — NON-publication.,f684babbff9b,True
Fig.3,3h,Ring flag sensitivity (0/1/5/10) -> binary membership decision,0831-end-code/stage5_ring_flag_sensitivity/code/run_ring_flag_sensitivity.py,0831-end-code/results_v2/ring_flag_sensitivity/ (in progress),PROTOCOL_SPEC ring_flag_sensitivity (P1-1 expanded),2026,"[42, 123, 456, 789, 2024]",standard + explicit_aromaticity_ablated,True,"Currently running (seed 11=42, explicit_aromaticity_ablated). Determines binary membership + learnable projection.",f684babbff9b,True
Fig.3,3i,"Final membership model (binary 0/1 + nn.Embedding(2, hidden_dim))",0831-end-code/stage6_final_membership/code/run_final_membership.py,0831-end-code/results_v2_backup_pre_bugfix/final_membership/,PROTOCOL_SPEC final_membership (P1-1 follow-up),2026,[42],standard + explicit_aromaticity_ablated,True,HOMA uses membership_proj (binary + learnable projection). NICS/MCBO use membership_1 (binary).,f684babbff9b,True
Fig.3,SI,Significance testing (paired t-test / Wilcoxon),0831-end-code/stats/significance_test.py,N/A (consumes per_seed_results.csv from stages above),Depends on input,2026,N/A,standard,True,Must only consume v2 protocol results.,f684babbff9b,True
Fig.4,4a,Random split baseline (same as Fig.3 test set),0831-end-code/stage4/run_stage4_v2.py (test set metrics),0831-end-code/results_v2_backup_pre_bugfix/stage4/,get_final_splits(SPLIT_SEED=2026),2026,"[42, 123, 456, 789, 2024]",standard,True,Random split reference for comparison with OOD.,f684babbff9b,True
Fig.4,4b,Scaffold OOD (Experiment A: E* protocol),0901-end-code/fig4_lunci10/training/train_scaffold_ood.py,0901-end-code/fig4_lunci10/training/ (scaffold_ood outputs),global_scaffold_split_map.csv (80/20 Murcko scaffold),42,"[42, 123, 456, 789, 2024]",standard,True,Three tasks share same global_scaffold_split_map. E*=median(5 best epochs).,f684babbff9b,True
Fig.4,4c,Ring-family OOD (Experiment C: zero-shot + adaptation),0901-end-code/fig4_lunci10/training/train_l10_exposure.py,0901-end-code/fig4_lunci10/training/ (l10_exposure outputs),Ring-family split (5 split seeds),"[42, 123, 456, 789, 2024]","[42, 123, 456, 789, 2024]",standard,True,0% = frozen zero-shot. >0% = fine-tune from frozen checkpoint. 5x5x5=375 fine-tunes + 75 zero-shot.,f684babbff9b,True
Fig.4,4d,Exposure/adaptation curve (Experiment B: 20/40/60/80/100%),0901-end-code/fig4_lunci10/training/train_exposure_curve.py,0901-end-code/fig4_lunci10/training/ (exposure_curve outputs),global_dev_scaffold_order.csv (nested Train20 ⊂ Train40 ⊂ ... ⊂ Train100),42,"[42, 123, 456, 789, 2024]",standard,True,Reuses E* from Experiment A. No new epoch selection.,f684babbff9b,True
Fig.4,4e,External absolute prediction (clean manifest),0901-end-code/fig4_lunci10/evaluation/run_external_absolute_v2.py,0901-end-code/fig4_lunci10/evaluation/,"lunci10_clean_manifest.csv (frozen checkpoints, no training)",N/A (inference only),"[42, 123, 456, 789, 2024] (RC_MPNN/GAT), [42] (Base_GNN)",standard,True,v2 uses clean manifest. v1 (run_external_absolute.py) uses full manifest — NON-publication.,f684babbff9b,True
Fig.4,4f,External delta prediction (pairwise aromaticity loss),0901-end-code/fig4_lunci10/evaluation/run_external_delta.py,0901-end-code/fig4_lunci10/evaluation/,"Frozen checkpoints (no training), clean manifest",N/A (inference only),"[42, 123, 456, 789, 2024]",standard,True,DeltaA = A_R - A_P. HOMA: ΔHOMA=HOMA_R-HOMA_P. MCBO: ΔMCBO=MCBO_R-MCBO_P. NICS: ΔNICS*=NICS_P-NICS_R.,f684babbff9b,True
Fig.4,4g,Hammett analysis (σm/σp vs ΔA),0901-end-code/fig4_lunci10/analysis/hammett_analysis.py,0901-end-code/fig4_lunci10/analysis/,Consumes frozen predictions from v2,N/A,N/A,standard,True,Within-context analysis. ortho separated. No oracle correction.,f684babbff9b,True
Fig.4,4h,Novelty analysis (A/B/C/D categories),0901-end-code/fig4_lunci10/analysis/novelty_analysis.py,0901-end-code/fig4_lunci10/analysis/,Consumes frozen predictions from v2,N/A,N/A,standard,True,Category A (seen scaffold+substituent) through D (both unseen).,f684babbff9b,True
EXCLUDED,-,"OLD stage3 mask pretraining (canonical_splits, seed=model_seed)",0831-end-code/stage3_mask_pretraining/code/run_pretrain_eval.py,0831-end-code/results/stage3_mask_pretraining/,canonical_splits(seed=model_seed) — OLD,model_seed (variable),[42],standard,False,NON-PUBLICATION: split changes with model seed. Superseded by run_mask_pretrain_v2.py.,f684babbff9b,True
EXCLUDED,-,OLD stage4 cross-arch (canonical_splits),0831-end-code/stage4_cross_architecture/code/cross_arch_eval.py,N/A (superseded by v2),canonical_splits(seed=model_seed) — OLD,model_seed (variable),[42],standard,False,NON-PUBLICATION: split changes with model seed. Superseded by run_stage4_v2.py.,f684babbff9b,True
EXCLUDED,-,multiseed (canonical_splits with model seed),0831-end-code/multiseed/run_multiseed.py,N/A (exploratory),canonical_splits(seed=model_seed) — OLD,model_seed (variable),"[42, 123, 456, 789, 2024]",standard,False,NON-PUBLICATION: different test sets per seed. Exploratory only.,f684babbff9b,True
EXCLUDED,-,"v1 external absolute (full manifest, includes exact_seen)",0901-end-code/fig4_lunci10/evaluation/run_external_absolute.py,N/A (superseded by v2),"lunci10_manifest.csv (full, includes exact_seen) — DEPRECATED",N/A (inference only),[42],standard,False,NON-PUBLICATION: includes exact_seen molecules. Superseded by run_external_absolute_v2.py.,f684babbff9b,True
EXCLUDED,-,ml_cross_task v1 (PCA data leakage),unified_models/ml_cross_task.py,N/A (superseded by v2),train_test_split + PCA on full data — DATA LEAKAGE,42,[42],standard,False,NON-PUBLICATION: PCA fit on full data before split. Superseded by ml_cross_task_v2.py.,f684babbff9b,True
