dataset,row_idx,smiles,ring_id,csv_ring_size,n_heavy_atoms,n_rings,n_target_atoms,atom_on_ring_raw,verdict,score_0based,score_1based,0based_all_valid,0based_ring_match,0based_size_match,0based_elements,1based_all_valid,1based_ring_match,1based_size_match,1based_elements
NICS,0,CCCC[C@H](CC)NC[C@@H]1CCOC[C@@H]1OC,1,6,17,1,6,"[9, 14, 13, 12, 11, 10]",0based,5,1,True,6,True,"['C', 'C', 'C', 'O', 'C', 'C']",True,,False,"['C', 'C', 'O', 'C', 'C', 'C']"
NICS,1,CC[C@H](N[C@H](C)C[C@H]1CCCO1)[C@@H]1CC1(C)C,2,3,17,2,3,"[13, 12, 14]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
NICS,2,CC[C@H](N[C@H](C)C[C@H]1CCCO1)[C@@H]1CC1(C)C,1,5,17,2,5,"[8, 7, 11, 10, 9]",0based,5,1,True,5,True,"['C', 'C', 'O', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,3,NC1(C(=O)N2CC[C@H](S(N)(=O)=O)C2)CCC1,2,4,16,2,4,"[13, 14, 15, 1]",0based,5,1,True,4,True,"['C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'N']"
NICS,4,NC1(C(=O)N2CC[C@H](S(N)(=O)=O)C2)CCC1,1,5,16,2,5,"[5, 4, 12, 7, 6]",0based,5,1,True,5,True,"['C', 'N', 'C', 'C', 'C']",True,,False,"['N', 'O', 'O', 'C', 'C']"
NICS,5,Nc1ccc2c(c1)-c1ccccc1C1=NCCN12,3,5,18,4,5,"[14, 13, 17, 16, 15]",0based,5,1,True,5,True,"['N', 'C', 'N', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'N']"
NICS,6,Nc1ccc2c(c1)-c1ccccc1C1=NCCN12,4,6,18,4,6,"[4, 17, 13, 12, 7, 5]",0based,5,1,True,6,True,"['C', 'N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'C']"
NICS,7,Nc1ccc2c(c1)-c1ccccc1C1=NCCN12,1,6,18,4,6,"[1, 6, 5, 4, 3, 2]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['N', 'C', 'C', 'C', 'C', 'C']"
NICS,8,Nc1ccc2c(c1)-c1ccccc1C1=NCCN12,2,6,18,4,6,"[8, 9, 10, 11, 12, 7]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'C']"
NICS,9,Cn1c(C=O)ccc1C(=O)N[C@H]1CC1(C)C,2,3,16,2,3,"[12, 11, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'N', 'C']"
NICS,10,Cn1c(C=O)ccc1C(=O)N[C@H]1CC1(C)C,1,5,16,2,5,"[1, 2, 5, 6, 7]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'N', 'O', 'C', 'C']"
NICS,11,O=C(CC1OCCO1)Nc1ccc2[nH]ccc2c1,1,5,18,3,5,"[4, 3, 7, 6, 5]",0based,5,1,True,5,True,"['O', 'C', 'O', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'O']"
NICS,12,O=C(CC1OCCO1)Nc1ccc2[nH]ccc2c1,3,5,18,3,5,"[13, 12, 16, 15, 14]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'N']"
NICS,13,O=C(CC1OCCO1)Nc1ccc2[nH]ccc2c1,2,6,18,3,6,"[10, 11, 12, 16, 17, 9]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'N']"
NICS,14,Cc1noc(-c2cc(C)n(C)c2C)n1,1,5,14,2,5,"[1, 2, 3, 4, 13]",0based,5,1,True,5,True,"['C', 'N', 'O', 'C', 'N']",True,,False,"['C', 'C', 'N', 'O', 'C']"
NICS,15,Cc1noc(-c2cc(C)n(C)c2C)n1,2,5,14,2,5,"[6, 5, 11, 9, 7]",0based,5,1,True,5,True,"['C', 'C', 'C', 'N', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,16,O=C(NCc1ccc[nH]1)c1ccc2cccnn12,1,5,18,3,5,"[5, 4, 8, 7, 6]",0based,5,1,True,5,True,"['C', 'C', 'N', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,17,O=C(NCc1ccc[nH]1)c1ccc2cccnn12,2,5,18,3,5,"[10, 9, 17, 12, 11]",0based,5,1,True,5,True,"['C', 'C', 'N', 'C', 'C']",True,,False,"['C', 'N', 'N', 'C', 'C']"
NICS,18,O=C(NCc1ccc[nH]1)c1ccc2cccnn12,3,6,18,3,6,"[13, 14, 15, 16, 17, 12]",0based,5,1,True,6,True,"['C', 'C', 'C', 'N', 'N', 'C']",True,,False,"['C', 'C', 'C', 'C', 'N', 'C']"
NICS,19,Cc1ccc(CNC(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)n1C,3,5,18,3,5,"[12, 11, 15, 14, 13]",0based,5,1,True,5,True,"['C', 'C', 'O', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,20,Cc1ccc(CNC(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)n1C,2,5,18,3,5,"[10, 9, 14, 15, 11]",0based,5,1,True,5,True,"['C', 'C', 'C', 'O', 'C']",True,,False,"['C', 'O', 'C', 'C', 'C']"
NICS,21,Cc1ccc(CNC(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)n1C,1,5,18,3,5,"[1, 2, 3, 4, 16]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'N']",True,,False,"['C', 'C', 'C', 'C', 'O']"
NICS,22,Cn1cccc1C(=O)O[C@@H]1CCOC1,2,5,14,2,5,"[10, 9, 13, 12, 11]",0based,5,1,True,5,True,"['C', 'C', 'C', 'O', 'C']",True,,False,"['C', 'O', 'O', 'C', 'C']"
NICS,23,Cn1cccc1C(=O)O[C@@H]1CCOC1,1,5,14,2,5,"[1, 2, 3, 4, 5]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'N', 'C', 'C', 'C']"
NICS,24,O=C(NC[C@H]1C[C@H](O)C1)c1ccc2[nH]ccc2n1,1,4,18,3,4,"[5, 6, 8, 4]",0based,5,1,True,4,True,"['C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'O', 'C']"
NICS,25,O=C(NC[C@H]1C[C@H](O)C1)c1ccc2[nH]ccc2n1,3,5,18,3,5,"[13, 12, 16, 15, 14]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'N']"
NICS,26,O=C(NC[C@H]1C[C@H](O)C1)c1ccc2[nH]ccc2n1,2,6,18,3,6,"[10, 11, 12, 16, 17, 9]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'N', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'C']"
NICS,27,CC(C)(O)C1CN(C[C@](C)(O)C(F)F)C1,1,4,15,1,4,"[4, 14, 6, 5]",0based,5,1,True,4,True,"['C', 'C', 'N', 'C']",True,,False,"['O', 'F', 'C', 'C']"
NICS,28,CC(C)C[C@@H](C)NC(=O)c1cc2cccn2cn1,2,5,18,2,5,"[12, 11, 15, 14, 13]",0based,5,1,True,5,True,"['C', 'C', 'N', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,29,CC(C)C[C@@H](C)NC(=O)c1cc2cccn2cn1,1,6,18,2,6,"[9, 17, 16, 15, 11, 10]",0based,5,1,True,6,True,"['C', 'N', 'C', 'N', 'C', 'C']",True,,False,"['O', 'C', 'N', 'C', 'C', 'C']"
NICS,30,Cc1ccc(C)n1CCc1ccccn1,1,5,15,2,5,"[1, 2, 3, 4, 6]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'N']",True,,False,"['C', 'C', 'C', 'C', 'C']"
NICS,31,Cc1ccc(C)n1CCc1ccccn1,2,6,15,2,6,"[10, 11, 12, 13, 14, 9]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'N', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'C']"
NICS,32,C=C[C@@H](C)NC(=O)c1cc(-c2nn[nH]n2)[nH]c1C,1,5,18,2,5,"[7, 8, 9, 15, 16]",0based,5,1,True,5,True,"['C', 'C', 'C', 'N', 'C']",True,,False,"['O', 'C', 'C', 'N', 'N']"
NICS,33,C=C[C@@H](C)NC(=O)c1cc(-c2nn[nH]n2)[nH]c1C,2,5,18,2,5,"[11, 10, 14, 13, 12]",0based,5,1,True,5,True,"['N', 'C', 'N', 'N', 'N']",True,,False,"['C', 'C', 'N', 'N', 'N']"
NICS,34,Cn1ccc(CNC(=O)c2cc(C(=O)O)no2)c1,2,5,18,2,5,"[10, 9, 16, 15, 11]",0based,5,1,True,5,True,"['C', 'C', 'O', 'N', 'C']",True,,False,"['C', 'O', 'N', 'O', 'C']"
NICS,35,Cn1ccc(CNC(=O)c2cc(C(=O)O)no2)c1,1,5,18,2,5,"[1, 2, 3, 4, 17]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'N', 'C', 'C', 'O']"
NICS,36,CCN(CCSC)C(=O)c1[nH]c(C)cc1C,1,5,16,1,5,"[9, 10, 11, 13, 14]",0based,5,1,True,5,True,"['C', 'N', 'C', 'C', 'C']",True,,False,"['O', 'C', 'N', 'C', 'C']"
NICS,37,Cn1ccc(-c2noc(-c3cscn3)n2)c1,2,5,16,3,5,"[6, 5, 14, 8, 7]",0based,5,1,True,5,True,"['N', 'C', 'N', 'C', 'O']",True,,False,"['C', 'C', 'N', 'O', 'N']"
NICS,38,Cn1ccc(-c2noc(-c3cscn3)n2)c1,1,5,16,3,5,"[1, 2, 3, 4, 15]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'N', 'C', 'C', 'N']"
NICS,39,Cn1ccc(-c2noc(-c3cscn3)n2)c1,3,5,16,3,5,"[10, 9, 13, 12, 11]",0based,5,1,True,5,True,"['C', 'C', 'N', 'C', 'S']",True,,False,"['C', 'C', 'C', 'S', 'C']"
