result_root,relative_path,stage,task,model_seed,split_seed,split_function,feature_mode,protocol,publication_run,test_set_hash,has_meta_json,has_result_csv,n_result_files,active_process
results_v2,results_v2/stage1/seed_11/explicit_aromaticity_ablated,stage1,unknown,11,2026,get_final_splits,explicit_aromaticity_ablated,PROTOCOL_SPEC Stage1 (P0-1 v2 + P0-2),True,7bd58dd4b8f56858,True,True,4,True
results_v2,results_v2/stage1/seed_11/standard,stage1,unknown,11,2026,get_final_splits,standard,PROTOCOL_SPEC Stage1 (P0-1 v2 + P0-2),True,f34d202e066e91c4,True,True,4,True
results_v2,results_v2/ring_flag_sensitivity/seed_11/explicit_aromaticity_ablated,stage5,unknown,11,2026,get_final_splits,explicit_aromaticity_ablated,PROTOCOL_SPEC ring_flag_sensitivity (P1-1 expanded),True,N/A,True,True,2,True
results_v2,results_v2/ring_flag_sensitivity/seed_11/standard,stage5,unknown,11,2026,get_final_splits,standard,PROTOCOL_SPEC ring_flag_sensitivity (P1-1 expanded),True,N/A,True,True,2,True
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4,stage4,unknown,unknown,2026,get_final_splits,unknown,unknown,True,b747d1ea9a288e7a,False,True,3,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/seed_11/explicit_aromaticity_ablated,stage4,unknown,11,2026,get_final_splits,explicit_aromaticity_ablated,PROTOCOL_SPEC Stage4 (P0-1 v2 + P0-2),True,c57b2fbfcf0123c4,True,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/seed_11/standard,stage4,unknown,11,2026,get_final_splits,standard,PROTOCOL_SPEC Stage4 (P0-1 v2 + P0-2),True,fcb0fb5e9c4eed03,True,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,ecbb2c481b92269f,True,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/NICS_1zz/DMPNN_base,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/NICS_1zz/DMPNN_membership,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/MBCO/DMPNN_base,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/MBCO/DMPNN_membership,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/HOMA/DMPNN_base,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
results_v2_backup_pre_bugfix,results_v2_backup_pre_bugfix/stage4/partial/DMPNN/seed_11/HOMA/DMPNN_membership,stage4,unknown,11,2026,get_final_splits,unknown,PROTOCOL_SPEC Stage4 (P0 #8),True,N/A,False,True,2,False
