dataset,row_idx,smiles,ring_id,csv_ring_size,n_heavy_atoms,n_rings,n_target_atoms,atom_on_ring_raw,verdict,score_0based,score_1based,0based_all_valid,0based_ring_match,0based_size_match,0based_elements,1based_all_valid,1based_ring_match,1based_size_match,1based_elements
HOMA,0,O=C1CNC(=O)N1CCSCC1CCCC1,2,5,16,2,5,"[12, 11, 15, 14, 13]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
HOMA,1,O=C1CNC(=O)N1CCSCC1CCCC1,1,5,16,2,5,"[1, 2, 3, 4, 6]",0based,5,1,True,5,True,"['C', 'C', 'N', 'C', 'N']",True,,False,"['O', 'C', 'C', 'N', 'O']"
HOMA,2,CC(C)C1(O)CN(C(=O)C2(NC(N)=O)CC2)C1,1,4,17,2,4,"[3, 16, 6, 5]",0based,5,1,True,4,True,"['C', 'C', 'N', 'C']",True,,False,"['C', 'C', 'C', 'O']"
HOMA,3,CC(C)C1(O)CN(C(=O)C2(NC(N)=O)CC2)C1,2,3,17,2,3,"[14, 9, 15]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'O', 'C']"
HOMA,4,CC[C@H](C)CNC(=O)NC1CCSCC1,1,6,15,1,6,"[9, 14, 13, 12, 11, 10]",0based,5,1,True,6,True,"['C', 'C', 'C', 'S', 'C', 'C']",True,,False,"['N', 'C', 'S', 'C', 'C', 'C']"
HOMA,5,CON(C)C(=O)/N=c1/ccnc2n(C)[nH]cc1-2,1,6,17,2,6,"[7, 16, 11, 10, 9, 8]",0based,5,1,True,6,True,"['C', 'C', 'C', 'N', 'C', 'C']",True,,False,"['N', 'C', 'N', 'C', 'C', 'C']"
HOMA,6,CON(C)C(=O)/N=c1/ccnc2n(C)[nH]cc1-2,2,5,17,2,5,"[12, 11, 16, 15, 14]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'N']",True,,False,"['C', 'N', 'C', 'N', 'C']"
HOMA,7,CCN(CC)C(=O)N1CC[C@@H]1CO,1,4,13,1,4,"[7, 10, 9, 8]",0based,5,1,True,4,True,"['N', 'C', 'C', 'C']",True,,False,"['O', 'C', 'C', 'N']"
HOMA,8,C=CCCC(=O)N[C@@H]1CS[C@@H](C)C1,1,5,13,1,5,"[7, 8, 9, 10, 12]",0based,5,1,True,5,True,"['C', 'C', 'S', 'C', 'C']",True,,False,"['N', 'C', 'C', 'S', 'C']"
HOMA,9,CO[C@H](C(=O)N(C)[C@H]1CCC[C@@H]1O)C(C)C,1,5,16,1,5,"[7, 8, 9, 10, 11]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
HOMA,10,C[C@@H]1CCC[C@H]1C(=O)NC1CC(C(F)(F)F)C1,2,4,17,2,4,"[10, 11, 16, 9]",0based,5,1,True,4,True,"['C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'F', 'N']"
HOMA,11,C[C@@H]1CCC[C@H]1C(=O)NC1CC(C(F)(F)F)C1,1,5,17,2,5,"[1, 2, 3, 4, 5]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
HOMA,12,C[C@H](O)C[C@@H]1CCCN1C(=O)[C@H]1CCOC1,2,5,16,2,5,"[12, 11, 15, 14, 13]",0based,5,1,True,5,True,"['C', 'C', 'C', 'O', 'C']",True,,False,"['C', 'O', 'O', 'C', 'C']"
HOMA,13,C[C@H](O)C[C@@H]1CCCN1C(=O)[C@H]1CCOC1,1,5,16,2,5,"[4, 5, 6, 7, 8]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'N']",True,,False,"['C', 'C', 'C', 'C', 'C']"
HOMA,14,COC/C=C/C(=O)[C@@H](C#N)C(=O)N1CCCC1,1,5,17,1,5,"[12, 13, 14, 15, 16]",0based,5,1,True,5,True,"['N', 'C', 'C', 'C', 'C']",True,,False,"['O', 'N', 'C', 'C', 'C']"
HOMA,15,O=C(Nc1ccc(F)c(F)c1)N[C@@H]1C=CCC1,2,5,17,2,5,"[13, 12, 16, 15, 14]",0based,5,1,True,5,True,"['C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'N', 'C', 'C', 'C']"
HOMA,16,O=C(Nc1ccc(F)c(F)c1)N[C@@H]1C=CCC1,1,6,17,2,6,"[4, 5, 6, 8, 10, 3]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'F', 'F', 'N']"
HOMA,17,COc1ccc(CN(C)C[C@@H]2CC[C@@H](C)O2)cc1,2,5,18,2,5,"[11, 10, 15, 13, 12]",0based,5,1,True,5,True,"['C', 'C', 'O', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C']"
HOMA,18,COc1ccc(CN(C)C[C@@H]2CC[C@@H](C)O2)cc1,1,6,18,2,6,"[2, 17, 16, 5, 4, 3]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['O', 'C', 'O', 'C', 'C', 'C']"
HOMA,19,COC[C@@H](C)O/N=C1/CCOc2ccccc21,1,6,17,2,6,"[7, 16, 11, 10, 9, 8]",0based,5,1,True,6,True,"['C', 'C', 'C', 'O', 'C', 'C']",True,,False,"['N', 'C', 'O', 'C', 'C', 'C']"
HOMA,20,COC[C@@H](C)O/N=C1/CCOc2ccccc21,2,6,17,2,6,"[12, 13, 14, 15, 16, 11]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'O']"
HOMA,21,CC1=NO[C@H](CNC(=O)c2ccc(C)cc2O)C1,1,5,18,2,5,"[1, 2, 3, 4, 17]",0based,5,1,True,5,True,"['C', 'N', 'O', 'C', 'C']",True,,False,"['C', 'C', 'N', 'O', 'O']"
HOMA,22,CC1=NO[C@H](CNC(=O)c2ccc(C)cc2O)C1,2,6,18,2,6,"[10, 11, 12, 14, 15, 9]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'O']"
HOMA,23,Cn1ncnc1CNCc1ccc(C(N)=O)cc1,1,5,18,2,5,"[1, 2, 3, 4, 5]",0based,5,1,True,5,True,"['N', 'N', 'C', 'N', 'C']",True,,False,"['C', 'N', 'N', 'C', 'N']"
HOMA,24,Cn1ncnc1CNCc1ccc(C(N)=O)cc1,2,6,18,2,6,"[10, 11, 12, 16, 17, 9]",0based,5,1,True,6,True,"['C', 'C', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'O', 'C', 'C']"
HOMA,25,C=C[C@H]1CCCCN1Cc1cccc2cc[nH]c12,1,6,18,3,6,"[2, 7, 6, 5, 4, 3]",0based,5,1,True,6,True,"['C', 'N', 'C', 'C', 'C', 'C']",True,,False,"['C', 'C', 'C', 'C', 'C', 'C']"
HOMA,26,C=C[C@H]1CCCCN1Cc1cccc2cc[nH]c12,3,5,18,3,5,"[14, 13, 17, 16, 15]",0based,5,1,True,5,True,"['C', 'C', 'C', 'N', 'C']",True,,False,"['C', 'C', 'N', 'C', 'C']"
