dataset,row_idx,smiles,ring_id,csv_ring_size,n_heavy_atoms,n_rings,n_target_atoms,atom_on_ring_raw,verdict,score_0based,score_1based,0based_all_valid,0based_ring_match,0based_size_match,0based_elements,1based_all_valid,1based_ring_match,1based_size_match,1based_elements
MCBO,0,COC[C@@H]1C(F)(F)[C@]12CCNC2,1,3,12,2,3,"[3, 4, 7]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'F']"
MCBO,1,CCOC(=O)CNC(=O)[C@@H]1[C@@H](C)C1(F)F,1,3,15,1,3,"[9, 10, 12]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
MCBO,2,CC(C)[C@@H]1CCCN1C[C@@H]1[C@H](C(=O)O)C1(F)F,2,3,17,2,3,"[10, 9, 14]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'O']"
MCBO,3,CC(C)(CO)CNC[C@H]1[C@@H](C(=O)O)C1(F)F,1,3,16,1,3,"[8, 9, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'O']"
MCBO,4,OCCCCCCN1C[C@@H]2[C@H](C1)C2(F)F,2,3,15,2,3,"[12, 10, 9]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,5,C[C@@H](C(=O)O)C(=O)N1CC[C@@]2(C1)CC2(F)F,2,3,16,2,3,"[12, 10, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,6,C[C@@H]1[C@@H](C(=O)N(C)CCCCCO)C1(F)F,1,3,16,1,3,"[1, 2, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'O']"
MCBO,7,CCc1c[nH]ccc1=NC(=O)[C@]1(C)CC1(F)F,2,3,17,2,3,"[13, 11, 14]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
MCBO,8,C[C@]1(C(=O)NCCN2CC[C@@H](O)C2)CC1(F)F,2,3,17,2,3,"[13, 1, 14]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,9,Cc1ccc(-c2noc([C@H]3CC3(F)F)n2)cc1,3,3,17,3,3,"[10, 9, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,10,CC[C@H](NC(=O)[C@@]1(C)CC1(F)F)[C@H](O)C(C)C,1,3,17,1,3,"[6, 8, 9]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
MCBO,11,CON=CC(=O)NC[C@@]1(C)CC1(Cl)Cl,1,3,14,1,3,"[8, 10, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,12,C[C@H]1[C@@H](C(=O)OC[C@H]2CC2(F)F)[C@@H](C)O[C@H]1C,2,3,17,2,3,"[8, 7, 9]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,13,C#CC(=O)NC1C(C)(C)C1(C)C,1,3,12,1,3,"[5, 6, 9]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['N', 'C', 'C']"
MCBO,14,CC[C@H]1CCCN1C[C@@]1(C)CC1(Cl)Cl,2,3,14,2,3,"[10, 8, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,15,NC(=O)[C@H]1CCCN1C[C@H]1CC1(Cl)Cl,2,3,14,2,3,"[10, 9, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,16,O=C(NCc1ccccc1Cl)[C@@H]1CC1(F)F,2,3,16,2,3,"[12, 11, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'Cl', 'C']"
MCBO,17,Cc1c(NC(=O)[C@@H]2CC2(F)F)ccc(F)c1F,2,3,17,2,3,"[7, 6, 8]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
MCBO,18,C[C@H](CC[S@](C)=O)NC(=O)[C@@H]1CC1(F)F,1,3,15,1,3,"[10, 11, 12]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
MCBO,19,OCC[C@H]1CCCN1C[C@@H]1CC1(Cl)Cl,2,3,14,2,3,"[10, 9, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,20,C=CCONC(=O)NC[C@@H]1CC1(Cl)Cl,1,3,14,1,3,"[9, 10, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,21,CC(C)N(C(=O)[C@H]1CC1(F)F)C(C)C,1,3,14,1,3,"[6, 7, 8]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
MCBO,22,CC#CCN1CC(N(C)C(=O)[C@@H]2CC2(F)F)C1,2,3,17,2,3,"[12, 11, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
MCBO,23,C[C@@H]1C[C@H](C)C[C@@H](NC(=O)[C@@H]2CC23CCCC3)C1,2,3,18,3,3,"[11, 10, 12]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
MCBO,24,CC[C@@H]1CCC[C@H]1NC(=O)[C@H]1CC12CCCC2,2,3,17,3,3,"[11, 10, 12]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'O', 'C']"
MCBO,25,C[C@@H]1[C@H](C(=O)Nc2cc(F)ccc2O)[C@@H]1C1CC1,1,3,18,3,3,"[1, 2, 14]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'O']"
MCBO,26,CC1(C)C[C@]1(C)NC(=O)C(=O)NCC1CC1,1,3,16,2,3,"[1, 3, 4]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'C', 'C']"
MCBO,27,CO[C@@]1(C)C[C@H]1NC(=O)N1C[C@H](C)C[C@@H]1C,1,3,16,2,3,"[2, 4, 5]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
MCBO,28,Cc1ccc(O)c(C(=O)N[C@@]2(C)CC2(C)C)c1,2,3,17,2,3,"[12, 10, 13]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['C', 'N', 'C']"
MCBO,29,CN(C)CCCOC(=O)[C@H]1CC1(Cl)Cl,1,3,14,1,3,"[9, 10, 11]",0based,5,1,True,3,True,"['C', 'C', 'C']",True,,False,"['O', 'C', 'C']"
